File,method,classification,seconds_total,mean_fit_time,std_fit_time,mean_score_time,std_score_time,params,mean_test_accuracy,std_test_accuracy,mean_test_precision,std_test_precision,mean_test_recall,std_test_recall,mean_test_f1,std_test_f1,mean_test_roc_auc,std_test_roc_auc,mean_test_log_loss,std_test_log_loss
Epoch/DATA3/D3S08I_S01_NF2S15CH-epo.fif,CSP,ANN,326.9389464855194,0.14723190784454346,0.007051546882568336,0.01097012758255005,0.0015614364876402353,"{'ANN__activation': 'relu', 'ANN__alpha': 0.0001, 'ANN__hidden_layer_sizes': (50,), 'ANN__learning_rate': 'constant', 'ANN__max_iter': 200, 'ANN__solver': 'adam'}",0.626875,0.11231060446369256,0.6679613997113997,0.1654553737762489,0.515,0.1796524422322168,0.5682713582427205,0.15646687317696645,0.70875,0.13568619011343785,-0.6163426872279331,0.06512397135672605
Epoch/DATA3/D3S08I_S01_NF2S15CH-epo.fif,CSP,ANN,326.9389464855194,0.01677009344100952,0.02744351527620823,0.01080744743347168,0.0006869128712371915,"{'ANN__activation': 'relu', 'ANN__alpha': 0.0001, 'ANN__hidden_layer_sizes': (50,), 'ANN__learning_rate': 'constant', 'ANN__max_iter': 200, 'ANN__solver': 'sgd'}",0.4625,0.05590169943749474,0.0675,0.23144923849518284,0.01125,0.03577272005313546,0.01877777777777778,0.05995255325651534,0.3328125,0.12278307535548212,-0.7089235619844387,0.009206852002765716
Epoch/DATA3/D3S08I_S01_NF2S15CH-epo.fif,CSP,ANN,326.9389464855194,0.14565604209899902,0.005593217642221225,0.010753734111785889,0.001015186475136839,"{'ANN__activation': 'relu', 'ANN__alpha': 0.0001, 'ANN__hidden_layer_sizes': (50,), 'ANN__learning_rate': 'adaptive', 'ANN__max_iter': 200, 'ANN__solver': 'adam'}",0.626875,0.11231060446369256,0.6679613997113997,0.1654553737762489,0.515,0.1796524422322168,0.5682713582427205,0.15646687317696645,0.70875,0.13568619011343785,-0.6163426872279331,0.06512397135672605
Epoch/DATA3/D3S08I_S01_NF2S15CH-epo.fif,CSP,ANN,326.9389464855194,0.051372239589691164,0.019523080117186353,0.01068866729736328,0.0005452470027223962,"{'ANN__activation': 'relu', 'ANN__alpha': 0.0001, 'ANN__hidden_layer_sizes': (50,), 'ANN__learning_rate': 'adaptive', 'ANN__max_iter': 200, 'ANN__solver': 'sgd'}",0.4875,0.04050462936504912,0.065,0.24140215409146626,0.00875,0.03189337705543268,0.015333333333333332,0.05592720135901538,0.334375,0.12221507041891357,-0.7080498143913273,0.008851487408741743
Epoch/DATA3/D3S08I_S01_NF2S15CH-epo.fif,CSP,ANN,326.9389464855194,0.17189924716949462,0.007764031258316,0.010784251689910889,0.0008017140788225726,"{'ANN__activation': 'relu', 'ANN__alpha': 0.0001, 'ANN__hidden_layer_sizes': (100,), 'ANN__learning_rate': 'constant', 'ANN__max_iter': 200, 'ANN__solver': 'adam'}",0.629375,0.11465130559657835,0.6622020202020202,0.1622267258529539,0.53875,0.18087893050325127,0.5818263623201704,0.15341320578283432,0.709375,0.13556882477177412,-0.6139844505973846,0.08693664918156485
Epoch/DATA3/D3S08I_S01_NF2S15CH-epo.fif,CSP,ANN,326.9389464855194,0.033742516040802,0.052817124359277934,0.010782837867736816,0.0008360602067179208,"{'ANN__activation': 'relu', 'ANN__alpha': 0.0001, 'ANN__hidden_layer_sizes': (100,), 'ANN__learning_rate': 'constant', 'ANN__max_iter': 200, 'ANN__solver': 'sgd'}",0.475,0.07180703308172534,0.32699999999999996,0.34104235644401837,0.09375,0.09901862198596786,0.13963480963480965,0.1402847265388653,0.36515625,0.12785136557615448,-0.7066078383441847,0.009492616857758564
Epoch/DATA3/D3S08I_S01_NF2S15CH-epo.fif,CSP,ANN,326.9389464855194,0.17247953176498412,0.008725175686464337,0.010788822174072265,0.000689901504919667,"{'ANN__activation': 'relu', 'ANN__alpha': 0.0001, 'ANN__hidden_layer_sizes': (100,), 'ANN__learning_rate': 'adaptive', 'ANN__max_iter': 200, 'ANN__solver': 'adam'}",0.629375,0.11465130559657835,0.6622020202020202,0.1622267258529539,0.53875,0.18087893050325127,0.5818263623201704,0.15341320578283432,0.709375,0.13556882477177412,-0.6139844505973846,0.08693664918156485
Epoch/DATA3/D3S08I_S01_NF2S15CH-epo.fif,CSP,ANN,326.9389464855194,0.07389923810958862,0.03873727079025602,0.010899085998535157,0.0010564977561289374,"{'ANN__activation': 'relu', 'ANN__alpha': 0.0001, 'ANN__hidden_layer_sizes': (100,), 'ANN__learning_rate': 'adaptive', 'ANN__max_iter': 200, 'ANN__solver': 'sgd'}",0.471875,0.06924537439425106,0.2876666666666667,0.34025823526649085,0.07875,0.09126712168135906,0.11885780885780886,0.1330356862419946,0.3715625,0.12627436336703501,-0.7056789461533707,0.00928482986671512
Epoch/DATA3/D3S08I_S01_NF2S15CH-epo.fif,CSP,ANN,326.9389464855194,0.22162290096282958,0.03965803712028367,0.011123003959655762,0.0008684494723079513,"{'ANN__activation': 'relu', 'ANN__alpha': 0.0001, 'ANN__hidden_layer_sizes': (50, 50), 'ANN__learning_rate': 'constant', 'ANN__max_iter': 200, 'ANN__solver': 'adam'}",0.64375,0.11232625472257143,0.6755833333333335,0.1516651992764565,0.57875,0.1799782973027581,0.6094037812033166,0.14221155840910485,0.706875,0.1350838859746047,-0.6180036628155043,0.10600206984991813
Epoch/DATA3/D3S08I_S01_NF2S15CH-epo.fif,CSP,ANN,326.9389464855194,0.18455774545669557,0.03505936880625982,0.011177260875701905,0.0008579686611439798,"{'ANN__activation': 'relu', 'ANN__alpha': 0.0001, 'ANN__hidden_layer_sizes': (50, 50), 'ANN__learning_rate': 'constant', 'ANN__max_iter': 200, 'ANN__solver': 'sgd'}",0.534375,0.05475442333729759,0.38983333333333337,0.4432073442532288,0.09875,0.1266084021698402,0.1504156954156954,0.18147501846071043,0.71109375,0.12598237026341225,-0.682844764329724,0.006173385371942536
