File,method,classification,seconds_total,mean_fit_time,std_fit_time,mean_score_time,std_score_time,params,mean_test_accuracy,std_test_accuracy,mean_test_precision,std_test_precision,mean_test_recall,std_test_recall,mean_test_f1,std_test_f1,mean_test_roc_auc,std_test_roc_auc,mean_test_log_loss,std_test_log_loss
Epoch/DATA3/D3S08I_S01_NF2S15CH-epo.fif,PTFBCSP,ANN,661.740936756134,0.23167397260665892,0.01644093847377581,0.01224370241165161,0.0016666462918801931,"{'ANN__activation': 'relu', 'ANN__alpha': 0.0001, 'ANN__hidden_layer_sizes': (50,), 'ANN__learning_rate': 'constant', 'ANN__max_iter': 200, 'ANN__solver': 'adam'}",0.97875,0.0344827855603343,0.9820277777777778,0.043632257788854885,0.9775,0.04802343178074636,0.9786683006535949,0.034415910523403856,0.99546875,0.013312463321545717,-0.07229193906150458,0.10023973696516308
Epoch/DATA3/D3S08I_S01_NF2S15CH-epo.fif,PTFBCSP,ANN,661.740936756134,0.33337440967559817,0.011894419108534974,0.012212717533111572,0.0016703712066566106,"{'ANN__activation': 'relu', 'ANN__alpha': 0.0001, 'ANN__hidden_layer_sizes': (50,), 'ANN__learning_rate': 'constant', 'ANN__max_iter': 200, 'ANN__solver': 'sgd'}",0.95,0.05229125165837973,0.9550555555555555,0.06597252046716211,0.95,0.0770551750371122,0.9495606191194429,0.05399935218410236,0.99328125,0.015349922383761422,-0.12586710784764643,0.07758049917470203
Epoch/DATA3/D3S08I_S01_NF2S15CH-epo.fif,PTFBCSP,ANN,661.740936756134,0.23082757234573364,0.015854628923708515,0.012247505187988282,0.0016437553680654358,"{'ANN__activation': 'relu', 'ANN__alpha': 0.0001, 'ANN__hidden_layer_sizes': (50,), 'ANN__learning_rate': 'adaptive', 'ANN__max_iter': 200, 'ANN__solver': 'adam'}",0.97875,0.0344827855603343,0.9820277777777778,0.043632257788854885,0.9775,0.04802343178074636,0.9786683006535949,0.034415910523403856,0.99546875,0.013312463321545717,-0.07229193906150458,0.10023973696516308
Epoch/DATA3/D3S08I_S01_NF2S15CH-epo.fif,PTFBCSP,ANN,661.740936756134,0.3343926501274109,0.014227343968939155,0.01191107988357544,0.0008195695573054263,"{'ANN__activation': 'relu', 'ANN__alpha': 0.0001, 'ANN__hidden_layer_sizes': (50,), 'ANN__learning_rate': 'adaptive', 'ANN__max_iter': 200, 'ANN__solver': 'sgd'}",0.95,0.05229125165837973,0.9550555555555555,0.06597252046716211,0.95,0.0770551750371122,0.9495606191194429,0.05399935218410236,0.99328125,0.015349922383761422,-0.12586710784764643,0.07758049917470203
Epoch/DATA3/D3S08I_S01_NF2S15CH-epo.fif,PTFBCSP,ANN,661.740936756134,0.23394652366638183,0.013849691943227148,0.013097531795501709,0.0020413974100960235,"{'ANN__activation': 'relu', 'ANN__alpha': 0.0001, 'ANN__hidden_layer_sizes': (100,), 'ANN__learning_rate': 'constant', 'ANN__max_iter': 200, 'ANN__solver': 'adam'}",0.97625,0.038303883615111396,0.9783333333333334,0.047479690264936675,0.97625,0.049037613114832575,0.9762549019607843,0.038008396652197025,0.99890625,0.004558110045567131,-0.040627908862591385,0.049712343285105334
Epoch/DATA3/D3S08I_S01_NF2S15CH-epo.fif,PTFBCSP,ANN,661.740936756134,0.5544520711898804,0.022069090048356593,0.012812771797180177,0.0017169688917831832,"{'ANN__activation': 'relu', 'ANN__alpha': 0.0001, 'ANN__hidden_layer_sizes': (100,), 'ANN__learning_rate': 'constant', 'ANN__max_iter': 200, 'ANN__solver': 'sgd'}",0.971875,0.039897329171261584,0.9759722222222222,0.046682165085148296,0.97,0.061542668125455856,0.9713858543417367,0.04130540596553595,0.9975,0.006889189901577688,-0.0936360856673531,0.04861271608929562
Epoch/DATA3/D3S08I_S01_NF2S15CH-epo.fif,PTFBCSP,ANN,661.740936756134,0.23612242460250854,0.011442850805928568,0.013012773990631103,0.0020441285087440426,"{'ANN__activation': 'relu', 'ANN__alpha': 0.0001, 'ANN__hidden_layer_sizes': (100,), 'ANN__learning_rate': 'adaptive', 'ANN__max_iter': 200, 'ANN__solver': 'adam'}",0.97625,0.038303883615111396,0.9783333333333334,0.047479690264936675,0.97625,0.049037613114832575,0.9762549019607843,0.038008396652197025,0.99890625,0.004558110045567131,-0.040627908862591385,0.049712343285105334
Epoch/DATA3/D3S08I_S01_NF2S15CH-epo.fif,PTFBCSP,ANN,661.740936756134,0.5516021752357483,0.02335383163918071,0.012764167785644532,0.001418809655041616,"{'ANN__activation': 'relu', 'ANN__alpha': 0.0001, 'ANN__hidden_layer_sizes': (100,), 'ANN__learning_rate': 'adaptive', 'ANN__max_iter': 200, 'ANN__solver': 'sgd'}",0.971875,0.039897329171261584,0.9759722222222222,0.046682165085148296,0.97,0.061542668125455856,0.9713858543417367,0.04130540596553595,0.9975,0.006889189901577688,-0.0936360856673531,0.04861271608929562
Epoch/DATA3/D3S08I_S01_NF2S15CH-epo.fif,PTFBCSP,ANN,661.740936756134,0.21696956872940062,0.010453576161617616,0.01229677438735962,0.001719865149699652,"{'ANN__activation': 'relu', 'ANN__alpha': 0.0001, 'ANN__hidden_layer_sizes': (50, 50), 'ANN__learning_rate': 'constant', 'ANN__max_iter': 200, 'ANN__solver': 'adam'}",0.979375,0.035416053916267974,0.9895436507936509,0.03339451938255946,0.97,0.05894913061275798,0.9785371148459383,0.03723352213843111,0.995,0.015606238736479715,-0.0740239704401165,0.11289428042393686
Epoch/DATA3/D3S08I_S01_NF2S15CH-epo.fif,PTFBCSP,ANN,661.740936756134,0.4442420363426208,0.012336567426318187,0.012134215831756591,0.0015399456290291415,"{'ANN__activation': 'relu', 'ANN__alpha': 0.0001, 'ANN__hidden_layer_sizes': (50, 50), 'ANN__learning_rate': 'constant', 'ANN__max_iter': 200, 'ANN__solver': 'sgd'}",0.945,0.05323884859761714,0.945404761904762,0.0668307028583811,0.95,0.07905694150420949,0.9447628025569204,0.05474858910464055,0.99,0.021596440678963744,-0.1292330556386488,0.09851950272863477
