File,method,classification,seconds_total,mean_fit_time,std_fit_time,mean_score_time,std_score_time,params,mean_test_accuracy,std_test_accuracy,mean_test_precision,std_test_precision,mean_test_recall,std_test_recall,mean_test_f1,std_test_f1,mean_test_roc_auc,std_test_roc_auc,mean_test_log_loss,std_test_log_loss
Epoch/DATA3/D3S08I_S01_NF2S15CH-epo.fif,CSP,KNN,21.823233366012573,0.0011895203590393066,0.0011250233849736406,0.01286985158920288,0.003691288268351769,"{'KNN__algorithm': 'auto', 'KNN__metric': 'euclidean', 'KNN__n_neighbors': 3, 'KNN__weights': 'uniform'}",0.631875,0.10189416997551921,0.6442416472416471,0.11670661855356951,0.615,0.1558043645088288,0.6195671890888609,0.11744222897359459,0.66234375,0.11422601721067098,-4.072567409346627,2.5773992832852386
Epoch/DATA3/D3S08I_S01_NF2S15CH-epo.fif,CSP,KNN,21.823233366012573,0.0010756397247314454,0.0005323822470385222,0.01424576997756958,0.005387732611245351,"{'KNN__algorithm': 'auto', 'KNN__metric': 'euclidean', 'KNN__n_neighbors': 3, 'KNN__weights': 'distance'}",0.665625,0.10766520735595134,0.6702453102453102,0.1134045507708488,0.68125,0.13961442439805424,0.6683853317305329,0.10700979684971934,0.684765625,0.11826780698872316,-4.063816805588092,2.58100449474366
Epoch/DATA3/D3S08I_S01_NF2S15CH-epo.fif,CSP,KNN,21.823233366012573,0.0015082621574401855,0.002252344723459984,0.017051172256469727,0.0065106921551165795,"{'KNN__algorithm': 'auto', 'KNN__metric': 'euclidean', 'KNN__n_neighbors': 5, 'KNN__weights': 'uniform'}",0.614375,0.10460304429126334,0.641823593073593,0.13354979693662267,0.555,0.14504309704360288,0.5849275584236885,0.1189729125656925,0.660078125,0.11841283858516725,-2.0520673454650336,1.91400336142095
Epoch/DATA3/D3S08I_S01_NF2S15CH-epo.fif,CSP,KNN,21.823233366012573,0.0012996602058410645,0.0011984708680336461,0.015544421672821045,0.007326436671234609,"{'KNN__algorithm': 'auto', 'KNN__metric': 'euclidean', 'KNN__n_neighbors': 5, 'KNN__weights': 'distance'}",0.634375,0.10583558888672565,0.6475357142857142,0.12169567135222889,0.63,0.13683932183404007,0.6301233035110743,0.10725378512142945,0.68953125,0.12407676633968384,-2.0329666715208115,1.917942658050614
Epoch/DATA3/D3S08I_S01_NF2S15CH-epo.fif,CSP,KNN,21.823233366012573,0.0010237574577331543,0.0002614096482825647,0.013035216331481934,0.002983723451432055,"{'KNN__algorithm': 'auto', 'KNN__metric': 'euclidean', 'KNN__n_neighbors': 7, 'KNN__weights': 'uniform'}",0.60125,0.10412582532686114,0.622741341991342,0.13002867115573166,0.55125,0.15721700766774568,0.5734027275613962,0.12172034001818974,0.66078125,0.1107071772811614,-1.3293774493945976,1.2924042606260515
Epoch/DATA3/D3S08I_S01_NF2S15CH-epo.fif,CSP,KNN,21.823233366012573,0.0010350537300109863,0.0004038946559503975,0.012067093849182128,0.0015332976134762315,"{'KNN__algorithm': 'auto', 'KNN__metric': 'euclidean', 'KNN__n_neighbors': 7, 'KNN__weights': 'distance'}",0.625,0.1,0.6384909257409257,0.11594490588556096,0.61375,0.1404179030608277,0.6167907848085865,0.10688025291727432,0.695546875,0.12025899276892715,-1.3106078436539592,1.2990452635689202
Epoch/DATA3/D3S08I_S01_NF2S15CH-epo.fif,CSP,KNN,21.823233366012573,0.0009995794296264648,2.5231206858627053e-05,0.01258512020111084,0.0013092461838060388,"{'KNN__algorithm': 'auto', 'KNN__metric': 'euclidean', 'KNN__n_neighbors': 9, 'KNN__weights': 'uniform'}",0.5925,0.10806537373275493,0.6145137085137085,0.1312033325502221,0.5275,0.16824461358391238,0.5558111527275614,0.13087321113924621,0.654609375,0.1146618191189721,-1.0772271746287823,0.9370617789871795
Epoch/DATA3/D3S08I_S01_NF2S15CH-epo.fif,CSP,KNN,21.823233366012573,0.0010022807121276855,7.626968724571586e-05,0.012000191211700439,0.001361428082267559,"{'KNN__algorithm': 'auto', 'KNN__metric': 'euclidean', 'KNN__n_neighbors': 9, 'KNN__weights': 'distance'}",0.629375,0.10392868648741788,0.6431399156399157,0.1169551127481439,0.6075,0.15105876340020793,0.6159298831543414,0.11576171479800347,0.70078125,0.1204012456785124,-1.0537777331334837,0.9367403235908136
Epoch/DATA3/D3S08I_S01_NF2S15CH-epo.fif,CSP,KNN,21.823233366012573,0.0010049581527709962,2.4426923005821225e-05,0.012821483612060546,0.00127350493246257,"{'KNN__algorithm': 'auto', 'KNN__metric': 'euclidean', 'KNN__n_neighbors': 12, 'KNN__weights': 'uniform'}",0.5625,0.10897247358851683,0.5574516594516594,0.10507342683777703,0.60875,0.16831425221887777,0.5752308106410274,0.12095798950783901,0.63578125,0.12666749117398868,-0.92145541229137,0.7908278395200503
Epoch/DATA3/D3S08I_S01_NF2S15CH-epo.fif,CSP,KNN,21.823233366012573,0.0010144782066345214,0.0002011720997667791,0.01186877965927124,0.0010525873466240327,"{'KNN__algorithm': 'auto', 'KNN__metric': 'euclidean', 'KNN__n_neighbors': 12, 'KNN__weights': 'distance'}",0.6325,0.10835416466384666,0.6450984848484848,0.11745321377120613,0.61125,0.1589958725879386,0.6184984651571338,0.12287747512823509,0.70453125,0.12097211633135753,-0.8943192414332887,0.7907554935528028
