File,method,classification,seconds_total,mean_fit_time,std_fit_time,mean_score_time,std_score_time,params,mean_test_accuracy,std_test_accuracy,mean_test_precision,std_test_precision,mean_test_recall,std_test_recall,mean_test_f1,std_test_f1,mean_test_roc_auc,std_test_roc_auc,mean_test_log_loss,std_test_log_loss
Epoch/DATAR/D3S02I_S01_FI4S15CH-epo.fif,PFBCSP,SVM,30.9191677570343,0.002316873073577881,0.0012041326596634596,0.010604944229125977,0.003312736913687641,"{'SVM__C': 0.01, 'SVM__class_weight': None, 'SVM__gamma': 0.01, 'SVM__kernel': 'linear'}",0.81,0.09255628917943216,0.8428690476190475,0.10503367009555313,0.7735714285714286,0.15919680414185328,0.7967562437562438,0.10842935202403246,0.8996428571428572,0.07456421010492519,,
Epoch/DATAR/D3S02I_S01_FI4S15CH-epo.fif,PFBCSP,SVM,30.9191677570343,0.0024876856803894044,0.0001440389814305772,0.010138382911682129,0.001316848137491029,"{'SVM__C': 0.01, 'SVM__class_weight': None, 'SVM__gamma': 0.01, 'SVM__kernel': 'rbf'}",0.4666666666666668,1.1102230246251565e-16,0.23333333333333328,0.2333333333333333,0.5,0.5,0.3181818181818182,0.3181818181818182,0.8837499999999998,0.07830698192605401,,
Epoch/DATAR/D3S02I_S01_FI4S15CH-epo.fif,PFBCSP,SVM,30.9191677570343,0.002129213809967041,0.0004561269069490171,0.010206725597381592,0.002299636629187557,"{'SVM__C': 0.01, 'SVM__class_weight': None, 'SVM__gamma': 0.1, 'SVM__kernel': 'linear'}",0.81,0.09255628917943216,0.8428690476190475,0.10503367009555313,0.7735714285714286,0.15919680414185328,0.7967562437562438,0.10842935202403246,0.8996428571428572,0.07456421010492519,,
Epoch/DATAR/D3S02I_S01_FI4S15CH-epo.fif,PFBCSP,SVM,30.9191677570343,0.0025603175163269043,0.0004171932397818888,0.010096952915191651,0.0016749976686212997,"{'SVM__C': 0.01, 'SVM__class_weight': None, 'SVM__gamma': 0.1, 'SVM__kernel': 'rbf'}",0.4666666666666668,1.1102230246251565e-16,0.23333333333333328,0.2333333333333333,0.5,0.5,0.3181818181818182,0.3181818181818182,0.8930357142857143,0.07220537425585836,,
Epoch/DATAR/D3S02I_S01_FI4S15CH-epo.fif,PFBCSP,SVM,30.9191677570343,0.002250547409057617,0.0015007623995496298,0.009769682884216308,0.0014928840861245336,"{'SVM__C': 0.01, 'SVM__class_weight': None, 'SVM__gamma': 1, 'SVM__kernel': 'linear'}",0.81,0.09255628917943216,0.8428690476190475,0.10503367009555313,0.7735714285714286,0.15919680414185328,0.7967562437562438,0.10842935202403246,0.8996428571428572,0.07456421010492519,,
Epoch/DATAR/D3S02I_S01_FI4S15CH-epo.fif,PFBCSP,SVM,30.9191677570343,0.002566714286804199,0.00010628783782743736,0.010271067619323731,0.001973405596333867,"{'SVM__C': 0.01, 'SVM__class_weight': None, 'SVM__gamma': 1, 'SVM__kernel': 'rbf'}",0.4666666666666668,1.1102230246251565e-16,0.23333333333333328,0.2333333333333333,0.5,0.5,0.3181818181818182,0.3181818181818182,0.8283928571428573,0.11111376662076154,,
Epoch/DATAR/D3S02I_S01_FI4S15CH-epo.fif,PFBCSP,SVM,30.9191677570343,0.0025235652923583985,0.0004068415865016309,0.009690632820129394,0.0013718385190050694,"{'SVM__C': 0.01, 'SVM__class_weight': 'balanced', 'SVM__gamma': 0.01, 'SVM__kernel': 'linear'}",0.81,0.09255628917943216,0.8487261904761904,0.10731159985160509,0.76625,0.15639218020928106,0.795492318139377,0.10783200138311887,0.9,0.07487234033298797,,
Epoch/DATAR/D3S02I_S01_FI4S15CH-epo.fif,PFBCSP,SVM,30.9191677570343,0.0030022144317626955,0.00019708703946908775,0.010031383037567138,0.0011762912307323615,"{'SVM__C': 0.01, 'SVM__class_weight': 'balanced', 'SVM__gamma': 0.01, 'SVM__kernel': 'rbf'}",0.4666666666666668,1.1102230246251565e-16,0.23333333333333328,0.2333333333333333,0.5,0.5,0.3181818181818182,0.3181818181818182,0.8839285714285713,0.0776939639921682,,
Epoch/DATAR/D3S02I_S01_FI4S15CH-epo.fif,PFBCSP,SVM,30.9191677570343,0.00264178991317749,0.001032536451961651,0.009709620475769043,0.0011031985970126092,"{'SVM__C': 0.01, 'SVM__class_weight': 'balanced', 'SVM__gamma': 0.1, 'SVM__kernel': 'linear'}",0.81,0.09255628917943216,0.8487261904761904,0.10731159985160509,0.76625,0.15639218020928106,0.795492318139377,0.10783200138311887,0.9,0.07487234033298797,,
Epoch/DATAR/D3S02I_S01_FI4S15CH-epo.fif,PFBCSP,SVM,30.9191677570343,0.0031929922103881834,0.0010047607627130303,0.010159521102905274,0.0018364128457445275,"{'SVM__C': 0.01, 'SVM__class_weight': 'balanced', 'SVM__gamma': 0.1, 'SVM__kernel': 'rbf'}",0.4666666666666668,1.1102230246251565e-16,0.23333333333333328,0.2333333333333333,0.5,0.5,0.3181818181818182,0.3181818181818182,0.8939285714285714,0.07230797934910795,,
Epoch/DATAR/D3S02I_S01_FI4S15CH-epo.fif,PFBCSP,SVM,30.9191677570343,0.002478971481323242,0.0002376013825127578,0.009774892330169678,0.0015266143742437453,"{'SVM__C': 0.01, 'SVM__class_weight': 'balanced', 'SVM__gamma': 1, 'SVM__kernel': 'linear'}",0.81,0.09255628917943216,0.8487261904761904,0.10731159985160509,0.76625,0.15639218020928106,0.795492318139377,0.10783200138311887,0.9,0.07487234033298797,,
