File,params,mean_test_score,std_test_score
Epoch/DATA3/D3S08I_S01_NF2S15CH-epo.fif,{'RNA__solver': 'lbfgs'},0.92,0.06128825336065632
Epoch/DATA3/D3S08I_S01_NF2S15CH-epo.fif,{'RNA__solver': 'sgd'},0.908125,0.0634028538395552
Epoch/DATA3/D3S08I_S01_NF2S15CH-epo.fif,{'RNA__solver': 'adam'},0.92,0.061922330382504186
Epoch/DATA3/D3S05I_S01_NF4S8BCH-epo.fif,{'RNA__solver': 'lbfgs'},0.845625,0.08680752775537384
Epoch/DATA3/D3S05I_S01_NF4S8BCH-epo.fif,{'RNA__solver': 'sgd'},0.81875,0.09078649403958719
Epoch/DATA3/D3S05I_S01_NF4S8BCH-epo.fif,{'RNA__solver': 'adam'},0.871875,0.07622694323531544
Epoch/DATA3/D3S09I_S01_NF2S8ACH-epo.fif,{'RNA__solver': 'lbfgs'},0.784375,0.10910681406310056
Epoch/DATA3/D3S09I_S01_NF2S8ACH-epo.fif,{'RNA__solver': 'sgd'},0.808125,0.10048903858132983
Epoch/DATA3/D3S09I_S01_NF2S8ACH-epo.fif,{'RNA__solver': 'adam'},0.8,0.09999999999999999
Epoch/DATA3/D3S02I_S01_FI4S15CH-epo.fif,{'RNA__solver': 'lbfgs'},0.7526666666666667,0.11047171583713182
Epoch/DATA3/D3S02I_S01_FI4S15CH-epo.fif,{'RNA__solver': 'sgd'},0.82,0.09865765724632497
Epoch/DATA3/D3S02I_S01_FI4S15CH-epo.fif,{'RNA__solver': 'adam'},0.8106666666666668,0.10358893119762685
Epoch/DATA3/D3S06I_S01_NF2S8BCH-epo.fif,{'RNA__solver': 'lbfgs'},0.81,0.09475296829123614
Epoch/DATA3/D3S06I_S01_NF2S8BCH-epo.fif,{'RNA__solver': 'sgd'},0.825625,0.0772045780702155
Epoch/DATA3/D3S06I_S01_NF2S8BCH-epo.fif,{'RNA__solver': 'adam'},0.836875,0.07998779203728529
Epoch/DATA3/D3S06I_S01_NF2S15CH-epo.fif,{'RNA__solver': 'lbfgs'},0.8625,0.08052561704203202
Epoch/DATA3/D3S06I_S01_NF2S15CH-epo.fif,{'RNA__solver': 'sgd'},0.90875,0.07094231811831356
Epoch/DATA3/D3S06I_S01_NF2S15CH-epo.fif,{'RNA__solver': 'adam'},0.9,0.07234898064243891
Epoch/DATA3/D3S08I_S01_FI2S8BCH-epo.fif,{'RNA__solver': 'lbfgs'},0.760625,0.10645384856828803
Epoch/DATA3/D3S08I_S01_FI2S8BCH-epo.fif,{'RNA__solver': 'sgd'},0.828125,0.08495173261917617
Epoch/DATA3/D3S08I_S01_FI2S8BCH-epo.fif,{'RNA__solver': 'adam'},0.82625,0.09082090893621357
Epoch/DATA3/D3S06I_S01_FI4S8ACH-epo.fif,{'RNA__solver': 'lbfgs'},0.86125,0.088644303257457
Epoch/DATA3/D3S06I_S01_FI4S8ACH-epo.fif,{'RNA__solver': 'sgd'},0.900625,0.0750494628561724
Epoch/DATA3/D3S06I_S01_FI4S8ACH-epo.fif,{'RNA__solver': 'adam'},0.90125,0.07457169369137327
