File,param_LDA__solver,params,mean_test_score,std_test_score
D3S12I_S01_NF2S15CH-epo.fif,lsqr,{'LDA__solver': 'lsqr'},0.6291666666666667,0.10817295821455973
D3S12I_S01_NF2S15CH-epo.fif,eigen,{'LDA__solver': 'eigen'},0.6291666666666667,0.10817295821455973
D3S05I_S01_FI4S8ACH-epo.fif,svd,{'LDA__solver': 'svd'},0.6604166666666667,0.1287796621710466
D3S05I_S01_FI4S8ACH-epo.fif,lsqr,{'LDA__solver': 'lsqr'},0.6604166666666667,0.1287796621710466
D3S05I_S01_FI4S8ACH-epo.fif,eigen,{'LDA__solver': 'eigen'},0.6604166666666667,0.1287796621710466
D3S03I_S01_FI2S8ACH-epo.fif,svd,{'LDA__solver': 'svd'},0.73125,0.10722591027048142
D3S03I_S01_FI2S8ACH-epo.fif,lsqr,{'LDA__solver': 'lsqr'},0.73125,0.10722591027048142
D3S03I_S01_FI2S8ACH-epo.fif,eigen,{'LDA__solver': 'eigen'},0.73125,0.10722591027048142
D3S03I_S01_FI4S8ACH-epo.fif,svd,{'LDA__solver': 'svd'},0.79375,0.0840851502942107
D3S03I_S01_FI4S8ACH-epo.fif,lsqr,{'LDA__solver': 'lsqr'},0.79375,0.0840851502942107
D3S03I_S01_FI4S8ACH-epo.fif,eigen,{'LDA__solver': 'eigen'},0.79375,0.0840851502942107
D3S04I_S01_NF2S8ACH-epo.fif,svd,{'LDA__solver': 'svd'},0.84375,0.08188851669597311
D3S04I_S01_NF2S8ACH-epo.fif,lsqr,{'LDA__solver': 'lsqr'},0.84375,0.08188851669597311
D3S04I_S01_NF2S8ACH-epo.fif,eigen,{'LDA__solver': 'eigen'},0.84375,0.08188851669597311
D3S08I_S01_NF4S15CH-epo.fif,svd,{'LDA__solver': 'svd'},0.6645833333333333,0.10267684608626339
D3S08I_S01_NF4S15CH-epo.fif,lsqr,{'LDA__solver': 'lsqr'},0.6645833333333333,0.10267684608626339
D3S08I_S01_NF4S15CH-epo.fif,eigen,{'LDA__solver': 'eigen'},0.6645833333333333,0.10267684608626339
D3S03I_S01_NF2S8ACH-epo.fif,svd,{'LDA__solver': 'svd'},0.6583333333333333,0.11031835245728105
D3S03I_S01_NF2S8ACH-epo.fif,lsqr,{'LDA__solver': 'lsqr'},0.6583333333333333,0.11031835245728105
