File,method,classification,mean_fit_time,std_fit_time,mean_score_time,std_score_time,params,mean_test_accuracy,std_test_accuracy,mean_test_precision,std_test_precision,mean_test_recall,std_test_recall,mean_test_f1,std_test_f1
Epoch/DATAQ/D3S02I_S01_FI4S15CH-epo.fif,CSP,KNN,0.0013820052146911622,0.0010972268137121903,0.009625630378723144,0.0031730422655470124,"{'KNN__algorithm': 'auto', 'KNN__metric': 'euclidean', 'KNN__n_neighbors': 3, 'KNN__weights': 'uniform'}",0.7846666666666667,0.11029455511895814,0.7805295815295814,0.1250495360536314,0.8069642857142856,0.1579664900850681,0.7851461296701235,0.11819686806979833
Epoch/DATAQ/D3S02I_S01_FI4S15CH-epo.fif,CSP,KNN,0.0010814070701599121,0.0003489820845063806,0.008049445152282715,0.0019869358469294445,"{'KNN__algorithm': 'auto', 'KNN__metric': 'euclidean', 'KNN__n_neighbors': 3, 'KNN__weights': 'distance'}",0.7919999999999999,0.09719625049924052,0.8021962481962481,0.11140273991857128,0.7844642857142855,0.15954445273327175,0.7844219747400862,0.113453745814021
Epoch/DATAQ/D3S02I_S01_FI4S15CH-epo.fif,CSP,KNN,0.0010346388816833496,0.0001466448474823402,0.008808064460754394,0.002287780983475234,"{'KNN__algorithm': 'auto', 'KNN__metric': 'euclidean', 'KNN__n_neighbors': 5, 'KNN__weights': 'uniform'}",0.7819999999999999,0.10104124570359047,0.7798787878787878,0.11321824209596737,0.80375,0.15494598713284388,0.782361218846513,0.10797734121829207
Epoch/DATAQ/D3S02I_S01_FI4S15CH-epo.fif,CSP,KNN,0.0010614466667175292,0.0003536055842347246,0.008204946517944336,0.002431009216617558,"{'KNN__algorithm': 'auto', 'KNN__metric': 'euclidean', 'KNN__n_neighbors': 5, 'KNN__weights': 'distance'}",0.7926666666666665,0.10236970037836175,0.7952835497835496,0.1165153146580158,0.8026785714285714,0.1530175851905624,0.7903756096844333,0.1107720702978469
Epoch/DATAQ/D3S02I_S01_FI4S15CH-epo.fif,CSP,KNN,0.001142740249633789,0.000657117784497844,0.00874211311340332,0.0022988954608978034,"{'KNN__algorithm': 'auto', 'KNN__metric': 'euclidean', 'KNN__n_neighbors': 7, 'KNN__weights': 'uniform'}",0.8093333333333331,0.10198910617207008,0.8128495670995671,0.11354977044914422,0.818392857142857,0.15076452700168175,0.8072419001706927,0.10939112351765352
Epoch/DATAQ/D3S02I_S01_FI4S15CH-epo.fif,CSP,KNN,0.0010212969779968262,0.00015710711136821323,0.007613112926483154,0.0013788102878937159,"{'KNN__algorithm': 'auto', 'KNN__metric': 'euclidean', 'KNN__n_neighbors': 7, 'KNN__weights': 'distance'}",0.8046666666666665,0.09487067220402967,0.8053524531024528,0.10636833769378568,0.8166071428571428,0.14642541372901866,0.8028125646283542,0.10310069715608267
Epoch/DATAQ/D3S02I_S01_FI4S15CH-epo.fif,CSP,KNN,0.0010530781745910645,0.00022397080216699883,0.008888747692108154,0.002582495044225458,"{'KNN__algorithm': 'auto', 'KNN__metric': 'euclidean', 'KNN__n_neighbors': 9, 'KNN__weights': 'uniform'}",0.8033333333333332,0.10170764201594908,0.810680375180375,0.11845071593191468,0.8073214285714286,0.15023992291922778,0.8001909345384577,0.10910198442952904
Epoch/DATAQ/D3S02I_S01_FI4S15CH-epo.fif,CSP,KNN,0.0011357450485229492,0.0005864353929715493,0.007833569049835206,0.0016299650840214033,"{'KNN__algorithm': 'auto', 'KNN__metric': 'euclidean', 'KNN__n_neighbors': 9, 'KNN__weights': 'distance'}",0.8086666666666666,0.09552428428880738,0.8058816738816738,0.10618601291027471,0.8248214285714284,0.14663954748891958,0.807600005687467,0.10315070212963981
Epoch/DATAQ/D3S02I_S01_FI4S15CH-epo.fif,CSP,KNN,0.0011499691009521484,0.0012122595027784018,0.008719511032104492,0.002082180560974866,"{'KNN__algorithm': 'auto', 'KNN__metric': 'euclidean', 'KNN__n_neighbors': 12, 'KNN__weights': 'uniform'}",0.7913333333333332,0.10484061977857416,0.7772608225108225,0.11412752270321842,0.8325,0.14683697401804327,0.7966378737361711,0.10807450592384167
Epoch/DATAQ/D3S02I_S01_FI4S15CH-epo.fif,CSP,KNN,0.0010560011863708495,0.0003902926190032907,0.007898070812225343,0.0020628123560334486,"{'KNN__algorithm': 'auto', 'KNN__metric': 'euclidean', 'KNN__n_neighbors': 12, 'KNN__weights': 'distance'}",0.8053333333333333,0.10007996802557445,0.8113575036075035,0.11436127152655337,0.8094642857142857,0.15803430185002396,0.800968991706608,0.11087231262870827
Epoch/DATAQ/D3S02I_S01_FI4S15CH-epo.fif,CSP,KNN,0.001020505428314209,6.1026389034368564e-05,0.008545920848846436,0.0020872164088157914,"{'KNN__algorithm': 'auto', 'KNN__metric': 'manhattan', 'KNN__n_neighbors': 3, 'KNN__weights': 'uniform'}",0.7986666666666664,0.09976862120816236,0.8025992063492063,0.1175724123937442,0.8055357142857141,0.1488453647314582,0.7958097702950643,0.10808804127934604
Epoch/DATAQ/D3S02I_S01_FI4S15CH-epo.fif,CSP,KNN,0.0010319066047668457,5.561043369879056e-05,0.007837846279144287,0.0016968627719180578,"{'KNN__algorithm': 'auto', 'KNN__metric': 'manhattan', 'KNN__n_neighbors': 3, 'KNN__weights': 'distance'}",0.8199999999999998,0.09018499505645791,0.8377222222222223,0.10827411050567404,0.8041071428571428,0.14765287390860157,0.8118991563991562,0.10464406429275472
