File,method,classification,seconds_total,mean_fit_time,std_fit_time,mean_score_time,std_score_time,params,mean_test_accuracy,std_test_accuracy,mean_test_precision,std_test_precision,mean_test_recall,std_test_recall,mean_test_f1,std_test_f1
Epoch/DATAT/D3S02I_S01_FI2S8ACH-epo.fif,PTFBCSP,LDA,50.35249853134155,0.02054518222808838,0.007985710296507818,0.008658795356750489,0.004587119157148997,"{'LDA__n_components': None, 'LDA__solver': 'svd', 'LDA__store_covariance': True, 'LDA__tol': 1e-05}",0.8019999999999999,0.08715503427800374,0.8267990620490621,0.11716418111812307,0.7867857142857142,0.13886888177893064,0.7959224500130075,0.09351077342328806
Epoch/DATAT/D3S02I_S01_FI2S8ACH-epo.fif,PTFBCSP,LDA,50.35249853134155,0.017693657875061036,0.003265577280222615,0.007103323936462402,0.0010818897174993175,"{'LDA__n_components': None, 'LDA__solver': 'svd', 'LDA__store_covariance': True, 'LDA__tol': 0.0001}",0.8019999999999999,0.08715503427800374,0.8267990620490621,0.11716418111812307,0.7867857142857142,0.13886888177893064,0.7959224500130075,0.09351077342328806
Epoch/DATAT/D3S02I_S01_FI2S8ACH-epo.fif,PTFBCSP,LDA,50.35249853134155,0.01725317716598511,0.001844023451453738,0.007056403160095215,0.001283145514806543,"{'LDA__n_components': None, 'LDA__solver': 'svd', 'LDA__store_covariance': True, 'LDA__tol': 0.001}",0.8019999999999999,0.08715503427800374,0.8267990620490621,0.11716418111812307,0.7867857142857142,0.13886888177893064,0.7959224500130075,0.09351077342328806
Epoch/DATAT/D3S02I_S01_FI2S8ACH-epo.fif,PTFBCSP,LDA,50.35249853134155,0.017217705249786375,0.0016608654736613468,0.007028830051422119,0.0011747524067935579,"{'LDA__n_components': None, 'LDA__solver': 'svd', 'LDA__store_covariance': True, 'LDA__tol': 0.01}",0.8019999999999999,0.08715503427800374,0.8267990620490621,0.11716418111812307,0.7867857142857142,0.13886888177893064,0.7959224500130075,0.09351077342328806
Epoch/DATAT/D3S02I_S01_FI2S8ACH-epo.fif,PTFBCSP,LDA,50.35249853134155,0.017344813346862793,0.0016451096744724658,0.0071832799911499025,0.0009388885575585899,"{'LDA__n_components': None, 'LDA__solver': 'svd', 'LDA__store_covariance': True, 'LDA__tol': 0.1}",0.8019999999999999,0.08715503427800374,0.8267990620490621,0.11716418111812307,0.7867857142857142,0.13886888177893064,0.7959224500130075,0.09351077342328806
Epoch/DATAT/D3S02I_S01_FI2S8ACH-epo.fif,PTFBCSP,LDA,50.35249853134155,0.016096162796020507,0.0019810672531817074,0.007440133094787598,0.0015688895604493186,"{'LDA__n_components': None, 'LDA__solver': 'svd', 'LDA__store_covariance': False, 'LDA__tol': 1e-05}",0.8019999999999999,0.08715503427800374,0.8267990620490621,0.11716418111812307,0.7867857142857142,0.13886888177893064,0.7959224500130075,0.09351077342328806
Epoch/DATAT/D3S02I_S01_FI2S8ACH-epo.fif,PTFBCSP,LDA,50.35249853134155,0.016722328662872314,0.0047856287884683645,0.0074534940719604495,0.0018435000086196958,"{'LDA__n_components': None, 'LDA__solver': 'svd', 'LDA__store_covariance': False, 'LDA__tol': 0.0001}",0.8019999999999999,0.08715503427800374,0.8267990620490621,0.11716418111812307,0.7867857142857142,0.13886888177893064,0.7959224500130075,0.09351077342328806
Epoch/DATAT/D3S02I_S01_FI2S8ACH-epo.fif,PTFBCSP,LDA,50.35249853134155,0.016380717754364015,0.003495725243270165,0.007582504749298096,0.002084705439826675,"{'LDA__n_components': None, 'LDA__solver': 'svd', 'LDA__store_covariance': False, 'LDA__tol': 0.001}",0.8019999999999999,0.08715503427800374,0.8267990620490621,0.11716418111812307,0.7867857142857142,0.13886888177893064,0.7959224500130075,0.09351077342328806
Epoch/DATAT/D3S02I_S01_FI2S8ACH-epo.fif,PTFBCSP,LDA,50.35249853134155,0.01614311695098877,0.003210735993629987,0.007484664916992187,0.0015303396958439835,"{'LDA__n_components': None, 'LDA__solver': 'svd', 'LDA__store_covariance': False, 'LDA__tol': 0.01}",0.8019999999999999,0.08715503427800374,0.8267990620490621,0.11716418111812307,0.7867857142857142,0.13886888177893064,0.7959224500130075,0.09351077342328806
Epoch/DATAT/D3S02I_S01_FI2S8ACH-epo.fif,PTFBCSP,LDA,50.35249853134155,0.01674866199493408,0.00397537699585895,0.007310760021209717,0.0016039475830163432,"{'LDA__n_components': None, 'LDA__solver': 'svd', 'LDA__store_covariance': False, 'LDA__tol': 0.1}",0.8019999999999999,0.08715503427800374,0.8267990620490621,0.11716418111812307,0.7867857142857142,0.13886888177893064,0.7959224500130075,0.09351077342328806
Epoch/DATAT/D3S02I_S01_FI2S8ACH-epo.fif,PTFBCSP,LDA,50.35249853134155,0.017046868801116943,0.001698262719724328,0.007195243835449219,0.0011324417932518113,"{'LDA__n_components': 1, 'LDA__solver': 'svd', 'LDA__store_covariance': True, 'LDA__tol': 1e-05}",0.8019999999999999,0.08715503427800374,0.8267990620490621,0.11716418111812307,0.7867857142857142,0.13886888177893064,0.7959224500130075,0.09351077342328806
Epoch/DATAT/D3S02I_S01_FI2S8ACH-epo.fif,PTFBCSP,LDA,50.35249853134155,0.017302980422973634,0.0025182096514786033,0.007203438282012939,0.0011256124926326827,"{'LDA__n_components': 1, 'LDA__solver': 'svd', 'LDA__store_covariance': True, 'LDA__tol': 0.0001}",0.8019999999999999,0.08715503427800374,0.8267990620490621,0.11716418111812307,0.7867857142857142,0.13886888177893064,0.7959224500130075,0.09351077342328806
