File,method,classification,seconds_total,mean_fit_time,std_fit_time,mean_score_time,std_score_time,params,mean_test_accuracy,std_test_accuracy,mean_test_precision,std_test_precision,mean_test_recall,std_test_recall,mean_test_f1,std_test_f1
Epoch/DATAT/D3S02I_S01_FI2S8ACH-epo.fif,CSP,LDA,16.519779443740845,0.002535667419433594,0.0015047664520261457,0.009656679630279542,0.004746419208377712,"{'LDA__n_components': None, 'LDA__solver': 'svd', 'LDA__store_covariance': True, 'LDA__tol': 1e-05}",0.7766666666666666,0.10257788368952749,0.8185743145743145,0.12137298249422619,0.7258928571428572,0.17264034146166415,0.7570406699423726,0.12402973295452191
Epoch/DATAT/D3S02I_S01_FI2S8ACH-epo.fif,CSP,LDA,16.519779443740845,0.002277834415435791,0.0012565784477487876,0.007609632015228272,0.002941988683343861,"{'LDA__n_components': None, 'LDA__solver': 'svd', 'LDA__store_covariance': True, 'LDA__tol': 0.0001}",0.7766666666666666,0.10257788368952749,0.8185743145743145,0.12137298249422619,0.7258928571428572,0.17264034146166415,0.7570406699423726,0.12402973295452191
Epoch/DATAT/D3S02I_S01_FI2S8ACH-epo.fif,CSP,LDA,16.519779443740845,0.0019743728637695314,0.0007433488698203589,0.007227549552917481,0.0030895364891798593,"{'LDA__n_components': None, 'LDA__solver': 'svd', 'LDA__store_covariance': True, 'LDA__tol': 0.001}",0.7766666666666666,0.10257788368952749,0.8185743145743145,0.12137298249422619,0.7258928571428572,0.17264034146166415,0.7570406699423726,0.12402973295452191
Epoch/DATAT/D3S02I_S01_FI2S8ACH-epo.fif,CSP,LDA,16.519779443740845,0.0018782305717468261,0.0006174182543604906,0.006725406646728516,0.002164914757190712,"{'LDA__n_components': None, 'LDA__solver': 'svd', 'LDA__store_covariance': True, 'LDA__tol': 0.01}",0.7766666666666666,0.10257788368952749,0.8185743145743145,0.12137298249422619,0.7258928571428572,0.17264034146166415,0.7570406699423726,0.12402973295452191
Epoch/DATAT/D3S02I_S01_FI2S8ACH-epo.fif,CSP,LDA,16.519779443740845,0.0019130635261535645,0.0006835377664522848,0.006688306331634522,0.00192499786556625,"{'LDA__n_components': None, 'LDA__solver': 'svd', 'LDA__store_covariance': True, 'LDA__tol': 0.1}",0.7766666666666666,0.10257788368952749,0.8185743145743145,0.12137298249422619,0.7258928571428572,0.17264034146166415,0.7570406699423726,0.12402973295452191
Epoch/DATAT/D3S02I_S01_FI2S8ACH-epo.fif,CSP,LDA,16.519779443740845,0.001782064437866211,0.0013878158163075488,0.0066052103042602535,0.0023642567448465238,"{'LDA__n_components': None, 'LDA__solver': 'svd', 'LDA__store_covariance': False, 'LDA__tol': 1e-05}",0.7766666666666666,0.10257788368952749,0.8185743145743145,0.12137298249422619,0.7258928571428572,0.17264034146166415,0.7570406699423726,0.12402973295452191
Epoch/DATAT/D3S02I_S01_FI2S8ACH-epo.fif,CSP,LDA,16.519779443740845,0.0014492154121398925,8.424519986500393e-05,0.006175282001495361,0.0010570300944232791,"{'LDA__n_components': None, 'LDA__solver': 'svd', 'LDA__store_covariance': False, 'LDA__tol': 0.0001}",0.7766666666666666,0.10257788368952749,0.8185743145743145,0.12137298249422619,0.7258928571428572,0.17264034146166415,0.7570406699423726,0.12402973295452191
Epoch/DATAT/D3S02I_S01_FI2S8ACH-epo.fif,CSP,LDA,16.519779443740845,0.001542201042175293,0.0005070074287115812,0.006328117847442627,0.001069411364342915,"{'LDA__n_components': None, 'LDA__solver': 'svd', 'LDA__store_covariance': False, 'LDA__tol': 0.001}",0.7766666666666666,0.10257788368952749,0.8185743145743145,0.12137298249422619,0.7258928571428572,0.17264034146166415,0.7570406699423726,0.12402973295452191
Epoch/DATAT/D3S02I_S01_FI2S8ACH-epo.fif,CSP,LDA,16.519779443740845,0.0014656043052673339,0.00013218715868696916,0.006341168880462647,0.001346989456648944,"{'LDA__n_components': None, 'LDA__solver': 'svd', 'LDA__store_covariance': False, 'LDA__tol': 0.01}",0.7766666666666666,0.10257788368952749,0.8185743145743145,0.12137298249422619,0.7258928571428572,0.17264034146166415,0.7570406699423726,0.12402973295452191
Epoch/DATAT/D3S02I_S01_FI2S8ACH-epo.fif,CSP,LDA,16.519779443740845,0.00147444486618042,0.00013174918719687637,0.0061745882034301754,0.0009453989772594166,"{'LDA__n_components': None, 'LDA__solver': 'svd', 'LDA__store_covariance': False, 'LDA__tol': 0.1}",0.7766666666666666,0.10257788368952749,0.8185743145743145,0.12137298249422619,0.7258928571428572,0.17264034146166415,0.7570406699423726,0.12402973295452191
Epoch/DATAT/D3S02I_S01_FI2S8ACH-epo.fif,CSP,LDA,16.519779443740845,0.002043147087097168,0.0013631268147301005,0.006287224292755127,0.001283498610307017,"{'LDA__n_components': 1, 'LDA__solver': 'svd', 'LDA__store_covariance': True, 'LDA__tol': 1e-05}",0.7766666666666666,0.10257788368952749,0.8185743145743145,0.12137298249422619,0.7258928571428572,0.17264034146166415,0.7570406699423726,0.12402973295452191
Epoch/DATAT/D3S02I_S01_FI2S8ACH-epo.fif,CSP,LDA,16.519779443740845,0.0018177056312561036,0.00025540960930145733,0.0067505502700805665,0.002526335423203081,"{'LDA__n_components': 1, 'LDA__solver': 'svd', 'LDA__store_covariance': True, 'LDA__tol': 0.0001}",0.7766666666666666,0.10257788368952749,0.8185743145743145,0.12137298249422619,0.7258928571428572,0.17264034146166415,0.7570406699423726,0.12402973295452191
